date,avg
2024-10-29 11:39:00+10:00,58.0
2024-10-29 11:39:00+10:00,58.0
2024-10-29 11:42:00+10:00,57.0
2024-10-29 11:42:00+10:00,57.0
2024-10-29 11:45:00+10:00,56.0
2024-10-29 11:45:00+10:00,56.0
2024-10-29 11:51:00+10:00,56.0
2024-10-29 11:51:00+10:00,56.0
2024-10-29 11:57:00+10:00,77.00000000000001
2024-10-29 11:57:00+10:00,77.00000000000001
2024-10-29 12:03:00+10:00,64.0
2024-10-29 12:03:00+10:00,64.0
2024-10-29 12:07:00+10:00,80.0
2024-10-29 12:07:00+10:00,80.0
2024-10-29 12:16:00+10:00,59.0
2024-10-29 12:16:00+10:00,59.0
2024-10-29 12:23:00+10:00,63.0
2024-10-29 12:23:00+10:00,63.0
2024-10-29 12:30:00+10:00,65.0
2024-10-29 12:30:00+10:00,65.0
2024-10-29 12:33:00+10:00,63.0
2024-10-29 12:33:00+10:00,63.0
2024-10-29 12:40:00+10:00,65.0
2024-10-29 12:40:00+10:00,65.0
2024-10-29 12:42:00+10:00,66.0
2024-10-29 12:42:00+10:00,66.0
2024-10-29 12:47:00+10:00,64.0
2024-10-29 12:47:00+10:00,64.0
2024-10-29 12:50:00+10:00,68.0
2024-10-29 12:50:00+10:00,68.0
2024-10-29 12:59:00+10:00,63.0
2024-10-29 12:59:00+10:00,63.0
2024-10-29 13:00:00+10:00,65.0
2024-10-29 13:00:00+10:00,65.0
2024-10-29 13:05:00+10:00,66.0
2024-10-29 13:05:00+10:00,66.0
2024-10-29 13:14:00+10:00,60.0
2024-10-29 13:14:00+10:00,60.0
2024-10-29 13:19:00+10:00,60.0
2024-10-29 13:19:00+10:00,60.0
2024-10-29 13:20:00+10:00,61.0
2024-10-29 13:20:00+10:00,61.0
2024-10-29 13:25:00+10:00,59.0
2024-10-29 13:25:00+10:00,59.0
2024-10-29 13:32:00+10:00,61.0
2024-10-29 13:32:00+10:00,61.0
2024-10-29 13:37:00+10:00,64.0
2024-10-29 13:37:00+10:00,64.0
2024-10-29 13:44:00+10:00,59.0
2024-10-29 13:44:00+10:00,59.0
2024-10-29 13:47:00+10:00,59.0
2024-10-29 13:47:00+10:00,59.0
2024-10-29 13:52:00+10:00,81.0
2024-10-29 13:52:00+10:00,81.0
2024-10-29 13:57:00+10:00,78.0
2024-10-29 13:57:00+10:00,78.0
2024-10-29 14:00:00+10:00,90.0
2024-10-29 14:00:00+10:00,90.0
2024-10-29 14:09:00+10:00,84.0
2024-10-29 14:09:00+10:00,84.0
2024-10-29 14:12:00+10:00,87.0
2024-10-29 14:12:00+10:00,87.0
2024-10-29 14:15:00+10:00,88.0
2024-10-29 14:15:00+10:00,88.0
2024-10-29 14:23:00+10:00,63.0
2024-10-29 14:23:00+10:00,63.0
2024-10-29 14:27:00+10:00,67.0
2024-10-29 14:27:00+10:00,67.0
2024-10-29 14:31:00+10:00,65.0
2024-10-29 14:31:00+10:00,65.0
2024-10-29 14:39:00+10:00,64.0
2024-10-29 14:39:00+10:00,64.0
2024-10-29 14:41:00+10:00,64.0
2024-10-29 14:41:00+10:00,64.0
2024-10-29 14:46:00+10:00,66.23700714111328
2024-10-29 14:46:00+10:00,66.23700714111328
2024-10-29 14:47:00+10:00,66.0
2024-10-29 14:47:00+10:00,66.0
2024-10-29 14:51:00+10:00,74.0
2024-10-29 14:51:00+10:00,74.0
2024-10-29 14:59:00+10:00,64.0
2024-10-29 14:59:00+10:00,64.0
2024-10-29 15:00:00+10:00,73.0
2024-10-29 15:00:00+10:00,73.0
2024-10-29 15:06:00+10:00,66.0
2024-10-29 15:06:00+10:00,66.0
2024-10-29 15:12:00+10:00,65.0
2024-10-29 15:12:00+10:00,65.0
2024-10-29 15:20:00+10:00,60.0
